RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-04-30,2023-06-30,2024-03-31
68414,32220,25026,zip,WV,WV,Elkview,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68461,32220,25112,zip,WV,WV,Dunbar,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68487,32220,25156,zip,WV,WV,Elkview,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68502,32220,25185,zip,WV,WV,Dixie,"Beckley, WV",Fayette County,2023-03-31,0.2,1.0,-2.5
68510,32220,25205,zip,WV,WV,Madison,"Charleston, WV",Boone County,2023-03-31,0.2,1.4,-1.4
68560,32220,25317,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68562,32220,25321,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68563,32220,25322,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68564,32220,25323,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68565,32220,25324,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68566,32220,25325,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68567,32220,25326,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68568,32220,25327,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68569,32220,25328,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68570,32220,25329,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68571,32220,25330,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68572,32220,25331,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68573,32220,25332,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68574,32220,25333,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68575,32220,25334,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68576,32220,25335,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68577,32220,25336,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68578,32220,25337,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68579,32220,25338,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68580,32220,25339,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68581,32220,25350,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68582,32220,25356,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68583,32220,25357,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68584,32220,25358,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68585,32220,25360,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68586,32220,25361,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68587,32220,25362,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68588,32220,25364,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68589,32220,25365,zip,WV,WV,Marmet,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68590,32220,25375,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68593,32220,25392,zip,WV,WV,Charleston,"Charleston, WV",Kanawha County,2023-03-31,0.2,1.4,-1.4
68596,32220,25402,zip,WV,WV,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County,2023-03-31,0.4,1.3,0.8
68597,32220,25410,zip,WV,WV,Harpers Ferry,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County,2023-03-31,0.4,0.3,-1.6
68605,32220,25423,zip,WV,WV,Harpers Ferry,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County,2023-03-31,0.4,0.3,-1.6
68616,32220,25440,zip,WV,WV,Bunker Hill,"Hagerstown-Martinsburg, MD-WV",Berkeley County,2023-03-31,0.4,1.3,0.8
68617,32220,25441,zip,WV,WV,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County,2023-03-31,0.4,0.3,-1.6
68656,32220,25562,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Wayne County,2023-03-31,0.2,1.8,-1.7
68660,32220,25569,zip,WV,WV,Scott Depot,"Huntington-Ashland, WV-KY-OH",Putnam County,2023-03-31,0.2,1.8,-1.7
68663,32220,25572,zip,WV,WV,Alkol,"Charleston, WV",Lincoln County,2023-03-31,0.2,1.4,-1.4
